P,T,x_CO2,y_CO2,x_N2,y_N2,betaL,betaV,lnphi_CO2,phi_CO2,dlnphi_CO2_dT_1_per_K,dlnphi_CO2_dP_1_per_Pa,dlnphi_CO2_dn_CO2_1_per_mol,dphi_CO2_dT_1_per_K,dphi_CO2_dP_1_per_Pa,dphi_CO2_dn_CO2_1_per_mol,f_CO2_Pa,df_CO2_dT_Pa_per_K,df_CO2_dP_Pa_per_Pa,df_CO2_dn_CO2_Pa_per_mol,phase_id,phase_kind
1.0,130.0,0.9973457816794243,0.006863285301377191,0.002654218320575672,0.9931367146986225,0.901718826899623,0.09828117310037698,-5.017325979652621,0.006622210981634886,0.13615754416026496,-9.970468259771537e-06,-3.0841889279382064e-05,0.0009016639841705436,-6.602654440190115e-08,-2.0424149788029118e-07,660.4634187924715,89.92707711047551,1.950463411418256e-05,1.7373094313817075,0,Two-phase (LV)
2.0,130.0,0.9946821882668125,0.003568450461600399,0.005317811733187512,0.9964315495384001,0.9044688973068995,0.09553110269310056,-5.707473529797968,0.0033210524947630115,0.13613824936793142,-4.970469343973641e-06,-0.00012394454983609662,0.00045212227269603763,-1.650718961494673e-08,-4.116263564454471e-07,660.6783525679664,89.94359431389192,1.95102651737464e-05,3.450258903640973,0,Two-phase (LV)
3.0,130.0,0.9920277287325147,0.0024752046342292424,0.007972271267485261,0.9975247953657709,0.9070006629346192,0.09299933706538072,-6.109908271414244,0.002220754510126243,0.13611872041679,-3.303803800115969e-06,-0.00027888052677973383,0.0003022862622781995,-7.3369371896797585e-09,-6.193251876324764e-07,660.9150158259075,89.96290625846504,1.9516511913686128e-05,5.127020884195118,0,Two-phase (LV)
4.0,130.0,0.9893832877147416,0.0019326394940606582,0.010616712285258428,0.9980673605059396,0.9094807544297994,0.09051924557020058,-6.394529536041863,0.0016706716696100591,0.1360989597514651,-2.4704716281580063e-06,-0.000495136796457328,0.00022737667632017245,-4.127346959739018e-09,-8.272110184227402e-07,661.1738516682708,89.98507342692115,1.9523387344264047e-05,6.767444672936493,0,Two-phase (LV)
5.0,130.0,0.9867498012614603,0.0016105957434398484,0.013250198738539712,0.998389404256561,0.9119415806664154,0.0880584193335846,-6.614582177274383,0.0013406748434516592,0.13607897014515077,-1.9704728279972206e-06,-0.0007721101404150531,0.00018243765199641302,-2.641763350200922e-09,-1.0351486416283898e-06,661.4553176660819,90.01015842503398,1.953090493687943e-05,8.371387701546052,0,Two-phase (LV)
6.0,130.0,0.9841282596929973,0.001399041412655301,0.01587174030700267,0.9986009585873454,0.9143932447228835,0.08560675527711653,-6.793783108133911,0.0011207209357371544,0.1360587547211421,-1.6371407327969734e-06,-0.0011091008398054379,0.00015248389490631035,-1.8347778939936347e-09,-1.242992531013614e-06,661.7598864531078,90.03822607521424,1.953907864503017e-05,9.93871654336999,0,Two-phase (LV)
7.0,130.0,0.9815197106153177,0.001250840445748773,0.018480289384682217,0.9987491595542517,0.9168394375298112,0.08316056247018871,-6.944783883057384,0.0009636485706785973,0.13603831697540603,-1.3990467708854253e-06,-0.001505306050694086,0.00013109312971087197,-1.348189421076247e-09,-1.4505860241852e-06,662.0880463591252,90.06934351622999,1.9547922926747906e-05,11.469307973616537,0,Two-phase (LV)
8.0,130.0,0.9789252620912005,0.0011424451816195026,0.021074737908799438,0.9988575548183808,0.9192813979482122,0.08071860205178777,-7.075136582468846,0.0008458770139825901,0.13601766080022884,-1.2204766562272283e-06,-0.0019598128564903223,0.00011505421276659437,-1.032373149604944e-09,-1.6577606470127242e-06,662.4403020878635,90.10358030978814,1.9557452767478822e-05,12.963050077519783,0,Two-phase (LV)
9.0,130.0,0.9763460859811123,0.001060794211639363,0.023653914018887674,0.9989392057883612,0.9217192275681749,0.07828077243182513,-7.189712684488643,0.0007543058131228833,0.13599679050886526,-1.0815891185729147e-06,-0.0024715909946981226,0.00010258316964689202,-8.158489595500051e-10,-1.8643354549629633e-06,662.8171754477955,90.14100855505164,1.9567683707758172e-05,14.419843400832288,0,Two-phase (LV)
10.0,130.0,0.9737834214600728,0.000998071919425692,0.02621657853992721,0.9990019280805739,0.9241524129707406,0.07584758702925948,-7.291838634797028,0.0006810746532806372,0.13597571086133198,-9.704793955191035e-07,-0.0030394852584152083,9.260961012946985e-05,-6.609689178191757e-10,-2.070116368526746e-06,663.2192061413512,90.18170301195849,1.9578631868632976e-05,15.839602139121098,0,Two-phase (LV)
11.0,130.0,0.9712385787275706,0.0009493268918427315,0.028761421272429494,0.9990506731081572,0.9265800599225524,0.07341994007744751,-7.383887290823928,0.0006211814735241131,0.1359544270911922,-8.795717288922266e-07,-0.0036622075729918027,8.445237135263337e-05,-5.46373662623425e-10,-2.274895496542214e-06,663.6469526252037,90.22574123497515,1.9590313982849886e-05,17.222255355624124,0,Two-phase (LV)
